STT,Tên Màn Hình,Tên File,Loại User,Mô Tả Chi Tiết,Chức Năng Chính,Navigate From,Navigate To,Trạng Thái,Độ Ưu Tiên,Sprint,Ghi Chú Kỹ Thuật
1,Màn hình Học,learn_screen.dart,All Users,"Màn hình chính, hiển thị 10 units học + progress","Show 10 units (N5-N1); Progress bar; Stats hiển thị (XP/streak/gems/lives); Click unit để vào bài học",Main Screen (Tab 1),"Lesson Screen; Guidebook Screen",Đã có,Core,Sprint 1,"UI ngon rồi. Cần thêm navigate logic khi click unit. Đang dùng dummy data 10 units."
2,Màn hình Chữ cái,characters_screen.dart,Beginner Users,"Học Hiragana/Katakana - đặc thù tiếng Nhật","Hiragana 46 chữ (あいうえお); Katakana 46 chữ (アイウエオ); Practice viết/đọc; Show phát âm",Main Screen (Tab 2),Character Practice Screen,Đã có,Core,Sprint 1,"Quan trọng cho tiếng Nhật @@. UI bảng chữ có rồi, cần thêm practice screen viết chữ (Canvas API - hơi khó)."
3,Màn hình Luyện tập,practice_screen.dart,All Users,"Daily practice + Super Practice (premium), ôn lại câu sai","Daily practice 15p/ngày; Super practice (premium unlimited); Review sai; Thống kê accuracy",Main Screen (Tab 3),"Lesson Screen; Lesson Result Screen",Đã có,Core,Sprint 1,"UI có rồi nhưng chưa có question engine. Logic bài tập này hơi khó, chưa biết làm kiểu gì :))"
4,Bảng xếp hạng,leaderboard_screen.dart,All Users,"Rank users theo XP, league hằng tuần","Top 50 users; League: Bronze/Silver/Gold/Diamond; Promote/Demote logic; Điểm user hiện tại",Main Screen (Tab 4),"Profile Screen (click vào user)",Đã có,Nice to have,Sprint 1,"Đang mock 50 users giả, cần connect API backend lấy data thật. UI theo Duolingo có avatar + progress bar."
5,Nhiệm vụ,quests_screen.dart,All Users,"Quest daily/weekly/monthly, claim XP + items","Daily (3 quests); Weekly (5 quests); Monthly (3 quests); Rewards: XP + items; Button claim",Main Screen (Tab 5),"Lesson Screen; Shop Screen",Đã có,Nice to have,Sprint 1,"Quest system này ngon, làm user nghiện luôn 🔥. Quest kiểu: Học 3 bài, 50 XP, 10 câu hỏi... đã implement basic."
6,Cửa hàng,shop_screen.dart,All Users,"Shop mua items: lives, streak freeze, XP boost","Lives (5 gems); Streak freeze (10 gems); XP boost x2 (20 gems); Show gems balance; Confirm dialog",Main Screen (Tab 6),"Payment Gateway (external, future)",Đã có,Nice to have,Sprint 1,"IAP chắc làm sau, giờ chưa rõ payment integration lắm @@ Research Flutter IAP thêm. Tạm dùng gems trong app thôi."
7,Hồ sơ,profile_screen.dart,All Users,"Profile user: avatar, stats, achievements","Avatar + tên; Stats (streak/XP/lessons done); Achievements/badges; Button Settings/Guidebook; Edit profile",Main Screen (Tab 7),"Settings Screen; Guidebook Screen",Đã có,Core,Sprint 1,"Settings button chưa navigate (Sprint 3 làm). UI responsive ok. Achievements đang hardcode, cần logic tính thật."
8,Đăng nhập,login_screen.dart,New/Returning Users,"Login/Register form + OAuth Google/Facebook","Login (email/pass); Register new account; Google OAuth; Facebook OAuth (optional); Forgot password; Form validation",Onboarding Screen,"Level Selection Screen (new user); Main Screen (returning user)",Chưa có,Critical,Sprint 2,"MVP phải có!! Quan trọng nhất ❗ Làm auth trước cái đã. Chắc dùng Firebase Auth hoặc JWT backend. Validation phải kỹ chút."
9,Chọn trình độ,level_selection_screen.dart,New Users,"Chọn level N5-N1, placement test optional","Intro 5 levels (N5/N4/N3/N2/N1); Placement test 10 câu (optional); Start N5 hoặc skip; Save level vào profile",Login Screen,Main Screen,Chưa có,Critical,Sprint 2,"Show 1 lần khi user mới signup (như Duolingo). Không show nữa trừ khi reset. UI phải rõ JLPT levels."
10,Bài học chi tiết,lesson_screen.dart,All Users,"Làm bài thực tế - CORE app, nhiều dạng câu hỏi","Multiple choice; Match pairs; Listening; Typing answer; Progress bar; Lives (sai 5 = hết); Skip button",Learn Screen; Practice Screen; Quests Screen,Lesson Result Screen,Chưa có,Critical,Sprint 2,"QUAN TRỌNG NHẤT 🔥 Em sẽ focus phần này. Cần làm: Question engine, Answer validation, Audio player, Lives logic, Progress tracking. Phần khó nhất đây!!"
11,Kết quả bài học,lesson_result_screen.dart,All Users,"Result screen: đúng/sai, XP earned, accuracy","Correct/wrong (VD 8/10); XP earned (+50); Accuracy %; Review sai; Continue button; Retry button; Animation nếu perfect",Lesson Screen,"Learn Screen; Lesson Screen (review mode)",Chưa có,Critical,Sprint 2,"Đi kèm lesson screen. Phải save kết quả vào DB/local storage. UI cần animation đẹp motivate user chút."
12,Cài đặt,settings_screen.dart,All Users,"Settings: sound, notification, reminder, logout","Toggle sound (effects + music); Toggle push notification; Set reminder time; Logout; About/Privacy/Terms",Profile Screen,"Login Screen (sau khi logout)",Chưa có,High,Sprint 3,"Profile có button Settings rồi (Sprint 3 làm). Notification dùng local_notifications package. Logout clear token/session."
